date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01 00:00:00,1.6,-1.6,4.8,,,,4.7,,1031.2,
2020-01-02 00:00:00,6.9,4.8,8.6,,,,7.5,,1026.1,
2020-01-03 00:00:00,9,7,11,,,,15.3,,1024.8,
2020-01-04 00:00:00,5.5,2.1,8.1,,,,6.3,,1036.1,
2020-01-05 00:00:00,6.7,5.6,8,,,,2.7,,1036.3,
2020-01-06 00:00:00,3.3,-0.7,7.5,,,,7.6,,1027.5,
2020-01-07 00:00:00,7.4,6.2,9.5,,,,8.2,,1028.6,
2020-01-08 00:00:00,11,10,11.5,,,,11.7,,1026.3,
2020-01-09 00:00:00,10.6,9.8,11.3,,,,17.5,,1016.1,
2020-01-10 00:00:00,7.1,3.9,9.4,,,,10.3,,1022.6,
2020-01-11 00:00:00,4.2,,,,,,6.1,,1033.1,
2020-01-12 00:00:00,6.1,,,,,,10.6,,1026.6,
2020-01-13 00:00:00,,,,,,,,,,
2020-01-14 00:00:00,9.2,7.9,10.8,,,,24,,1009.7,
2020-01-15 00:00:00,9.3,4.7,11.8,,,,15.5,,1014.7,
2020-01-16 00:00:00,8,3.2,13.5,,,,10.2,,1022,
2020-01-17 00:00:00,8.4,4.3,10.6,,,,13.7,,1019,
2020-01-18 00:00:00,4.3,1.5,8.1,,,,7.3,,1028.4,
2020-01-19 00:00:00,3.2,0.3,7,,,,9.1,,1040.1,
2020-01-20 00:00:00,2.1,0.7,5.1,,,,9.3,,1046,
2020-01-21 00:00:00,1,-1.9,4.1,,,,5.9,,1041.4,
2020-01-22 00:00:00,-0.4,-3,2.7,,,,7.1,,1036,
2020-01-23 00:00:00,-0.1,-1.7,2.3,,,,10.3,,1029.7,
2020-01-24 00:00:00,0.7,-1.3,5.4,,,,4.5,,1023.9,
2020-01-25 00:00:00,1.3,-2.4,5.7,,,,2.8,,1020.9,
2020-01-26 00:00:00,5.5,3.2,8.2,,,,7.7,,1016.7,
2020-01-27 00:00:00,8.1,7.1,8.5,,,,17.4,,1007.6,
2020-01-28 00:00:00,5.9,4.3,7.7,,,,22,,1003.2,
2020-01-29 00:00:00,6.2,4.7,8.6,,,,13,,1014.1,
2020-01-30 00:00:00,8.3,3,12.9,,,,13.1,,1011.8,
2020-01-31 00:00:00,11.5,10.5,12.8,,,,13.4,,1013.6,
2020-02-01 00:00:00,11.8,10.3,13.2,,,,17.3,,1011,
2020-02-02 00:00:00,12.6,10.5,15.2,,,,15.8,,1014.2,
2020-02-03 00:00:00,11.2,7.1,13,,,,14.2,,1017,
2020-02-04 00:00:00,6.4,,,,,,16.4,,1023.6,
2020-02-05 00:00:00,6.3,3.6,8.4,,,,5,,1035.9,
2020-02-06 00:00:00,4.5,0.3,9.9,,,,6.5,,1031.3,
2020-02-07 00:00:00,5.7,0.5,10.3,,,,7.6,,1022.8,
2020-02-08 00:00:00,8.6,7.3,9.4,,,,9.8,,1020.9,
2020-02-09 00:00:00,9.3,7.3,12.8,,,,26.2,,1012,
2020-02-10 00:00:00,9.9,7.2,13.3,,,,28,,1007.8,
2020-02-11 00:00:00,5.8,3.8,8.4,,,,19.6,,1016,
2020-02-12 00:00:00,5.5,3.2,8.4,,,,12.7,,1020.6,
2020-02-13 00:00:00,8.1,5.3,11.9,,,,19.9,,1007.2,
2020-02-14 00:00:00,9,7.8,11.3,,,,10.9,,1021.6,
2020-02-15 00:00:00,9.5,6.5,12.5,,,,14.9,,1019.2,
2020-02-16 00:00:00,12.9,8.3,16.8,,,,26.5,,1009.7,
2020-02-17 00:00:00,8.2,5.1,11.7,,,,15.2,,1018.4,
2020-02-18 00:00:00,6.6,3.2,9.9,,,,15.8,,1026.7,
2020-02-19 00:00:00,6.7,4.5,8.8,,,,12.3,,1024.7,
2020-02-20 00:00:00,7.7,5,10.4,,,,15.8,,1020.3,
2020-02-21 00:00:00,5.5,1.6,9.6,,,,11.6,,1030.1,
2020-02-22 00:00:00,8.3,3.9,12,,,,15.2,,1028.2,
2020-02-23 00:00:00,10.7,9.2,12.4,,,,20.7,,1025.5,
2020-02-24 00:00:00,10.8,9.2,12,,,,19.2,,1019.5,
2020-02-25 00:00:00,7.4,3.6,9.9,,,,16.6,,1007,
2020-02-26 00:00:00,3.9,1.5,7.1,,,,17.1,,1007.9,
2020-02-27 00:00:00,4.9,,,,,,17.9,,1004.9,
2020-02-28 00:00:00,4.9,0.3,10.4,,,,12.6,,1014.9,
2020-02-29 00:00:00,8.5,5.2,11.5,,,,21.2,,997.6,
2020-03-01 00:00:00,5.2,1.5,7.8,,,,14.2,,996.9,
2020-03-02 00:00:00,6.1,3.6,8.7,,,,13,,992.6,
2020-03-03 00:00:00,4,0.8,8.1,,,,8.3,,1006.3,
2020-03-04 00:00:00,4.7,2.1,7.1,,,,10,,1011.4,
2020-03-05 00:00:00,8.5,5.5,11.8,,,,14.4,,992.4,
2020-03-06 00:00:00,6.2,4.7,8.3,,,,12.6,,1004.3,
2020-03-07 00:00:00,6.8,2,10.9,,,,7.7,,1020.3,
2020-03-08 00:00:00,8.1,6.4,10.6,,,,15.5,,1015.3,
2020-03-09 00:00:00,7.3,4.3,11,,,,12.6,,1017.5,
2020-03-10 00:00:00,11.1,6.4,14.1,,,,19.9,,1014.6,
2020-03-11 00:00:00,13.5,,,,,,19.7,,1017.1,
2020-03-12 00:00:00,10,6.1,11.8,,,,15.4,,1016.9,
2020-03-13 00:00:00,,,,,,,,,,
2020-03-14 00:00:00,,,,,,,,,,
2020-03-15 00:00:00,10,6.5,15.8,,,,8.7,,1013.9,
2020-03-16 00:00:00,8.4,5.7,10.3,,,,5.9,,1020.3,
2020-03-17 00:00:00,10.1,7.7,13.8,,,,2.6,,1030.5,
2020-03-18 00:00:00,12.2,8.2,17.8,,,,2,,1028.1,
2020-03-19 00:00:00,12.4,,,,,,3.1,,1023.1,
2020-03-20 00:00:00,11.3,7.4,15,,,,12.3,,1021.7,
2020-03-21 00:00:00,6.6,5.3,7.6,,,,17.8,,1020.6,
2020-03-22 00:00:00,7.2,4.7,10,,,,18.5,,1021,
2020-03-23 00:00:00,6,1,10.8,,,,13.7,,1025.4,
2020-03-24 00:00:00,6.5,0.3,12.4,,,,10.3,,1026,
2020-03-25 00:00:00,6.4,0.5,11.8,,,,11.3,,1021.9,
2020-03-26 00:00:00,5.8,1.4,9.8,,,,12.7,,1018.2,
2020-03-27 00:00:00,7.1,1,12.5,,,,8.2,,1018.5,
2020-03-28 00:00:00,8.9,3.2,15.6,,,,11.5,,1020.6,
2020-03-29 00:00:00,5.4,3.6,8,,,,23.4,,1028,
2020-03-30 00:00:00,3.8,-0.8,8.4,,,,21.9,,1029,
2020-03-31 00:00:00,6,1.2,10.9,,,,14.5,,1026.4,
2020-04-01 00:00:00,6.4,0.9,11.9,,,,9.1,,1021.5,
2020-04-02 00:00:00,5.8,0.5,9.5,,,,8.1,,1017.5,
2020-04-03 00:00:00,9.2,6,13.2,,,,5.9,,1018.5,
2020-04-04 00:00:00,9.8,1.8,16.4,,,,5.7,,1020.9,
2020-04-05 00:00:00,13.9,5.5,21.6,,,,8.1,,1016.7,
2020-04-06 00:00:00,11.7,,,,,,8,,1020,
2020-04-07 00:00:00,14.4,,,,,,7.2,,1027,
2020-04-08 00:00:00,15.5,,,,,,2.7,,1023.4,
2020-04-09 00:00:00,16.4,7.4,24.3,,,,3.8,,1022.7,
2020-04-10 00:00:00,17.4,9.6,24.2,,,,6,,1022.5,
2020-04-11 00:00:00,17.4,10.1,23.8,,,,4,,1021.6,
2020-04-12 00:00:00,17,10.2,23.6,,,,6.1,,1015.9,
2020-04-13 00:00:00,11.9,8.2,15.2,,,,13.3,,1016.6,
2020-04-14 00:00:00,7.5,2.8,12.6,,,,17.3,,1025,
2020-04-15 00:00:00,11.2,4.5,18.6,,,,11.2,,1020.6,
2020-04-16 00:00:00,15.7,8,22.6,,,,5.9,,1015.7,
2020-04-17 00:00:00,17.2,12.2,23,,,,5.6,,1013.6,
2020-04-18 00:00:00,16.7,13.2,21.3,,,,8,,1015.1,
2020-04-19 00:00:00,14.4,11.8,18.9,,,,11.8,,1015.6,
2020-04-20 00:00:00,14.6,10.2,19.5,,,,14.5,,1010.8,
2020-04-21 00:00:00,14.6,10,19.1,,,,12.5,,1010.4,
2020-04-22 00:00:00,15.8,10.8,21,,,,8.7,,1014.2,
2020-04-23 00:00:00,16.6,,,,,,2.4,,1017.1,
2020-04-24 00:00:00,17.1,,,,,,4.8,,1014.3,
2020-04-25 00:00:00,15.1,11.6,18.4,,,,9.5,,1012.3,
2020-04-26 00:00:00,13.2,6,19.9,,,,4.8,,1011.4,
2020-04-27 00:00:00,15.5,8.7,22.4,,,,5.4,,1007.8,
2020-04-28 00:00:00,14.1,11.5,16.7,,,,13,,1005.3,
2020-04-29 00:00:00,11.1,9.2,14.2,,,,12.2,,1007.2,
2020-04-30 00:00:00,9.9,7.6,13,,,,13.8,,1002.9,
2020-05-01 00:00:00,11.5,8.2,16.2,,,,15,,1004.3,
2020-05-02 00:00:00,11.3,6.3,16,,,,8.3,,1012.6,
2020-05-03 00:00:00,13.4,9.8,19.7,,,,5.9,,1016.5,
2020-05-04 00:00:00,14.2,9.8,19,,,,6.8,,1017,
2020-05-05 00:00:00,12.2,10,13.8,,,,12.6,,1016.1,
2020-05-06 00:00:00,14.8,10.4,19.8,,,,7.6,,1021.6,
2020-05-07 00:00:00,14.7,5.6,21.4,,,,3.6,,1022.4,
2020-05-08 00:00:00,15.8,7.9,22.1,,,,4.5,,1016.9,
2020-05-09 00:00:00,17.6,15.2,21.5,,,,4,,1010.8,
2020-05-10 00:00:00,16.2,12.9,20.7,,,,5.5,,1004.9,
2020-05-11 00:00:00,9.4,5.9,12.6,,,,24.4,,1009.4,
2020-05-12 00:00:00,8.7,4.3,12.7,,,,12.5,,1018.1,
2020-05-13 00:00:00,9.7,5,14.8,,,,14.2,,1012.6,
2020-05-14 00:00:00,9.3,4.4,14,,,,17.7,,1016.4,
2020-05-15 00:00:00,10.7,4.6,16.4,,,,12.4,,1020.4,
2020-05-16 00:00:00,12.5,5.5,17.6,,,,6.6,,1023.4,
2020-05-17 00:00:00,13.5,6.1,19.6,,,,4.8,,1025.2,
2020-05-18 00:00:00,15.8,,,,,,4.8,,1025.5,
2020-05-19 00:00:00,16,,,,,,6.2,,1023.9,
2020-05-20 00:00:00,19.3,11.7,26.2,,,,5.6,,1021.5,
2020-05-21 00:00:00,21.5,13.5,27.6,,,,3.3,,1020.2,
2020-05-22 00:00:00,19.7,16.6,23.9,,,,8.6,,1019.8,
2020-05-23 00:00:00,15.4,11.3,19.5,,,,10.5,,1026.9,
2020-05-24 00:00:00,13.8,8.8,18.9,,,,8.1,,1032.9,
2020-05-25 00:00:00,16.6,8.4,22.3,,,,7,,1033.7,
2020-05-26 00:00:00,18.7,13,23.7,,,,9,,1033.9,
2020-05-27 00:00:00,19.5,13.8,24.4,,,,9.4,,1032.6,
2020-05-28 00:00:00,17.8,11.8,23,,,,12.2,,1029.5,
2020-05-29 00:00:00,18.3,12.3,23.2,,,,12.9,,1024.1,
2020-05-30 00:00:00,18.3,11.1,23.9,,,,9,,1019.9,
2020-05-31 00:00:00,18.2,13,22.3,,,,11.6,,1018.7,
2020-06-01 00:00:00,19,12.4,25,,,,9.2,,1018,
2020-06-02 00:00:00,21.6,13,28.1,,,,4.9,,1015.9,
2020-06-03 00:00:00,20.3,16,25,,,,8.5,,1006,
2020-06-04 00:00:00,13.4,,,,,,7.9,,1001.4,
2020-06-05 00:00:00,12.6,10.3,16.7,,,,15.8,,1001.3,
2020-06-06 00:00:00,13.1,9.9,16.8,,,,13.8,,1004.1,
2020-06-07 00:00:00,13,8.2,17.3,,,,6.9,,1009.5,
2020-06-08 00:00:00,13.4,10,16.7,,,,8.7,,1015.6,
2020-06-09 00:00:00,13.3,9.3,18,,,,9.2,,1018.9,
2020-06-10 00:00:00,13.6,8,18.8,,,,5.5,,1016.5,
2020-06-11 00:00:00,15.8,9.5,22.2,,,,7.8,,1008.6,
2020-06-12 00:00:00,15.7,13.2,19.5,,,,9.6,,1003.2,
